model;f1_macro_mean;f1_macro_std;balanced_accuracy_mean;balanced_accuracy_std
random_forest;0.7165302210890174;0.02318953343508926;0.7113199675988408;0.0230548028104686
hist_gradient_boosting;0.7109870241520431;0.01680382070385006;0.7030603882143545;0.01678927990114699
logistic_regression;0.7095367705082911;0.01451535128992914;0.7169429618702465;0.015505911497810429
xgboost;0.7070222301001882;0.020193512213381056;0.6989950975892902;0.018516179531629682
lightgbm;0.7068141009240253;0.0140074291588943;0.6988077137918032;0.014142283369892407
catboost;0.6966736024098565;0.01222171099129504;0.6881358066537058;0.010386528028924416
